,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
37,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63
38,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63
39,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63
40,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63
41,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63
42,77.63,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63,77.63
43,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63
44,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63
45,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63
46,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63
47,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63
48,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63
49,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63
50,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63
