,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,,,,,,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,,,,,
1,,,,,,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,,,,,
2,,,,,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,,,,
3,,,,,0.7763,0.7763,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763,0.7763,0.7763,,,,
4,,,,0.7763,0.7763,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763,0.7763,0.7763,,,
5,,,0.7763,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763,0.7763,,
6,,,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763,,
7,,,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763,,
8,0.7763,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763,0.7763
9,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763
10,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763
11,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763
12,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763
13,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763
14,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763
15,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763
16,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763
17,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763
18,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763
19,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763
20,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763
21,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763
22,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763
23,0.7763,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763,0.7763
24,,,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763,,
25,,,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763,,
26,,,0.7763,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763,0.7763,,
27,,,,0.7763,0.7763,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763,0.7763,0.7763,,,
28,,,,,0.7763,0.7763,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763,0.7763,0.7763,,,,
29,,,,,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,-0,-0,-0,-0,-0,-0,-0,-0,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,,,,
30,,,,,,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,,,,,
31,,,,,,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,0.7763,,,,,
