,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,44.0762035959554,43.9806675741752,43.9647449038785,43.9488222335818,43.9582578900539,43.9676935465261,43.9771292029982,44.1960158849125,,,,,,,,,,,
2,,,,,,,,,44.0762035959554,43.9771292029982,43.7574285199144,43.5377278368306,43.2253599041454,43.1049184032293,43.1764033340823,43.1845340593402,43.2366446166748,43.2887551740095,43.5182131836724,43.7476711933353,43.9771292029982,44.3157567628719,,,,,,,,
3,,,,,,,,43.9929157820958,43.5661762498401,43.1717858851704,42.8446359796059,42.5879391880518,42.3342912230131,42.1576843014305,42.1579901390352,42.1654831603513,42.1552926513614,42.3568804329221,42.5584682144827,42.9351918180982,43.3119154217138,43.6542528330929,43.9965902444719,,,,,,,
4,,,,,,44.5245194972837,43.9096279682361,43.3190558663313,42.9084909178686,42.3664425673426,41.9318434392974,41.6381505392729,41.3074615307782,41.2234728589147,41.1394841870512,41.1420280175367,41.1382046782846,41.3542677372621,41.5824684633337,41.9827807255366,42.3830929877396,42.8979259939996,43.4508769079395,43.9952633552805,44.455432208047,,,,,
5,,,,,44.4914884595742,43.9512718751659,43.2286276078541,42.6451959505668,42.1031476000408,41.5610992495149,41.0190508989889,40.6717749177369,40.324498936485,40.2218310732237,40.1191632099624,40.1201399575851,40.1211167052077,40.3250420970913,40.6484869357202,41.0236002333594,41.5135903058511,42.0749153374872,42.6362403691233,43.3786270047751,43.9939364660891,44.424545207716,,,,
6,,,,,43.9929157820958,43.3062540278305,42.5476272474721,41.8648631451496,41.2421000569658,40.619336968782,40.1934034265853,39.7674698843886,39.3415363421918,39.2613747375919,39.1812131329919,39.101051528392,39.107815560056,39.373437135579,39.7007548947414,40.0993142825286,40.628121890325,41.2320544959445,41.8771828305347,42.5530477309774,43.3063771016106,43.9926095768977,,,,
7,,,,44.0345596890256,43.5192639726886,42.6773771521847,41.8648631451496,41.1199946201151,40.4514099191817,39.7828252182483,39.3157896344144,38.8487540505805,38.3817184667466,38.2804765139098,38.179234561073,38.0779926082362,38.0945144149044,38.4290072617904,38.7635001086764,39.22775049061,39.7661194658058,40.4318012283851,41.1181252919461,41.8869930361094,42.6684601558873,43.4780650248098,43.9912826877064,,,
8,,,44.0762035959554,43.7322739175467,42.898633668235,42.0485002765388,41.2460694072304,40.4436385379219,39.7370717619696,39.073603206443,38.4532328713421,37.8328625362412,37.4099122984033,37.09752467163,37.0767999261644,37.0560751806989,37.1106909805139,37.4684681515627,37.8262453226114,38.3955099883922,39.0248829096914,39.7744723420271,40.4276374308257,41.2209383412414,42.0587398776076,42.8965414139738,43.7386429856654,44.2892053885177,,
9,,,43.9194265345725,43.3119154217138,42.3958537093249,41.5130281194814,40.6302025296378,39.7828252182483,38.9847515297387,38.3070450946846,37.6293386596305,36.9516322245764,36.5348268381003,36.1180214516241,36.0768645650527,36.0357076784813,36.2487364277661,36.6201781265206,36.9779552975693,37.5941651767595,38.2836463535769,39.0332357859126,39.7828252182483,40.6237294295535,41.5075689274022,42.4323608719092,43.3158076300085,43.9742985060565,,
