,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6713498815321,31.6651560341165,31.6598048479073,31.6380591761678,31.6193334699716,31.5939996770795,31.4134894473919,7.63002403846153,7.59844951923077,7.52373798076923,7.4859375,7.46459134615385,7.42856971153847,7.42545673076923,7.35296875,7.35118990384616,7.29604567307693,7.29604567307693,7.29382211538461,7.25780048076923,7.25780048076923,7.25780048076923,7.25780048076923,7.24356971153846,7.23912259615384,7.23912259615384,7.23890024038462,7.25780048076923,7.28225961538461,7.29582331730769,7.31472355769231,7.32450721153846,7.35296875,7.35608173076923,7.42856971153847,7.43835336538461,7.46681490384615,7.54241586538462,7.55175480769231,7.6015625,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6954222495799,31.6796269317749,31.6692666787049,31.6470980105603,31.6375721793121,31.6166058895007,7.62824519230769,7.57310096153847,7.54152644230769,7.46637019230769,7.42856971153847,7.41478365384615,7.35252403846154,7.31472355769231,7.31383413461538,7.23890024038462,7.25735576923077,7.18219951923077,7.18197716346154,7.19998798076923,7.14395432692307,7.14395432692307,7.14395432692307,7.14395432692307,7.12972355769231,7.12505408653846,7.1441766826923,7.12527644230769,7.12527644230769,7.18219951923077,7.18219951923077,7.18219951923077,7.19643028846153,7.23912259615384,7.25290865384616,7.31494591346154,7.35252403846154,7.37387019230769,7.40989182692308,7.46637019230769,7.49483173076923,7.54508413461539,7.58155048076923,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7182208365205,31.7153391260906,31.6925744719817,31.6687458881874,31.6485506038831,7.62824519230769,7.57132211538461,7.52151442307692,7.46614783653846,7.40944711538462,7.35296875,7.34340745192308,7.29337740384615,7.25780048076923,7.23912259615384,7.18175480769231,7.12505408653846,7.14395432692307,7.08703125,7.08703125,7.08703125,7.03989182692307,7.01120793269231,7.03010817307692,7.03010817307692,7.01587740384615,7.01131911057692,7.01143028846153,7.01143028846153,7.01143028846153,7.06813100961539,7.08725360576923,7.06835336538462,7.12527644230769,7.12505408653846,7.18219951923077,7.18219951923077,7.25802283653846,7.24356971153846,7.31516826923077,7.3717578125,7.40944711538462,7.43790865384616,7.48793870192308,7.54908653846154,7.6015625,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,31.731853604893,31.7228671530102,31.7301232399543,31.7255911370913,31.6968770700412,7.63713942307692,7.58021634615385,7.52307091346154,7.46459134615385,7.40944711538462,7.35274639423077,7.29604567307693,7.25802283653846,7.22978365384615,7.18175480769231,7.12527644230769,7.1181610576923,7.06813100961539,7.03055288461538,7.01120793269231,7.01587740384615,6.97340745192307,6.95428485576923,6.95895432692307,6.916484375,6.89736177884615,6.91626201923077,6.90203125,6.89747295673077,6.89758413461539,6.89747295673077,6.89847355769231,6.95450721153846,6.95428485576923,6.9736298076923,7.03033052884615,7.01143028846153,7.06813100961539,7.08925480769231,7.12505408653846,7.17286057692308,7.18308894230769,7.25824519230769,7.31472355769231,7.35252403846154,7.38120793269231,7.46637019230769,7.49483173076923,7.55197716346154,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,31.7436149764313,31.732839540749,31.7280927493816,31.7254758243333,31.7244032098075,7.60956730769231,7.55219951923077,7.4859375,7.42901442307692,7.37164663461538,7.29604567307693,7.25802283653846,7.20132211538461,7.17508413461538,7.12305288461538,7.08725360576923,7.03033052884615,7.00876201923077,6.97340745192307,6.94494591346154,6.89736177884615,6.91270432692308,6.85945012019231,6.85933894230769,6.85600360576923,6.783515625,6.80252704326923,6.80241586538462,6.78473858173077,6.78373798076923,6.78362680288462,6.78373798076923,6.78640625000001,6.85956129807693,6.84043870192308,6.86111778846154,6.916484375,6.89847355769231,6.95428485576923,6.97563100961538,7.03033052884615,7.08703125,7.09414663461538,7.14617788461538,7.20132211538461,7.25780048076923,7.29604567307693,7.37164663461538,7.40989182692308,7.4859375,7.54286057692308,7.59978365384615,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,31.7349394809988,31.736150663614,31.7348340182968,31.7334721613082,31.7313501928354,7.57932692307693,7.51306490384615,7.46459134615385,7.40744591346154,7.3436298076923,7.28670673076923,7.21555288461538,7.17263822115385,7.11593749999999,7.06768629807692,7.01120793269231,6.95450721153846,6.94494591346154,6.89713942307693,6.84054987980769,6.83354567307692,6.783515625,6.80141526442308,6.72659254807693,6.74571514423077,6.72503605769231,6.68868088942308,6.68879206730769,6.66966947115385,6.67089242788462,6.66989182692308,6.66978064903847,6.66978064903847,6.68412259615385,6.72670372596154,6.72659254807693,6.75260817307693,6.80252704326923,6.80486177884615,6.85956129807693,6.85489182692308,6.89802884615385,6.97329627403846,7.01120793269231,7.03944711538461,7.08947716346154,7.14573317307692,7.20310096153846,7.25846754807692,7.31694711538461,7.37387019230769,7.44280048076923,7.49483173076923,7.57087740384615,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,31.7317076375726,31.7338627091741,31.7333530631544,31.7327491114021,7.62735576923077,7.56643028846154,7.49527644230769,7.42901442307692,7.37164663461538,7.28559495192308,7.23867788461538,7.17152644230769,7.124609375,7.06612980769231,7.01098557692308,6.95428485576923,6.89747295673077,6.85956129807693,6.83354567307692,6.783515625,6.72659254807693,6.74460336538462,6.68868088942308,6.68790264423077,6.61274639423078,6.63175781250001,6.63164663461539,6.5558233173077,6.57483473557693,6.57483473557693,6.55704627403846,6.5558233173077,6.57494591346154,6.55593449519231,6.57016526442308,6.61274639423078,6.63175781250001,6.66010817307693,6.68868088942308,6.69568509615385,6.74560396634616,6.783515625,6.80486177884615,6.85956129807693,6.91637319711538,6.95428485576923,7.01098557692308,7.03966947115384,7.0963701923077,7.15818509615384,7.21043870192307,7.29560096153846,7.35252403846154,7.40989182692308,7.48771634615385,7.54463942307692,7.60867788461538,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,31.7227435376131,31.7349964700198,31.7319959900571,31.7312309411806,7.62379807692307,7.55219951923077,7.46637019230769,7.40766826923077,7.35074519230769,7.27225360576923,7.20132211538461,7.1441766826923,7.06813100961539,7.01143028846153,6.95428485576923,6.89747295673077,6.85956129807693,6.80263822115385,6.77417668269231,6.72614783653847,6.66978064903847,6.64143028846154,6.61274639423078,6.55593449519231,6.5558233173077,6.49890024038462,6.51791165865385,6.51791165865385,6.46098858173077,6.46098858173077,6.46098858173077,6.44320012019231,6.44208834134616,6.44208834134616,6.44219951923078,6.49890024038462,6.51791165865385,6.51791165865385,6.55593449519231,6.55593449519231,6.57483473557693,6.63209134615385,6.68868088942308,6.69813100961539,6.74727163461539,6.80263822115385,6.85956129807693,6.916484375,6.97318509615385,7.01120793269231,7.06835336538462,7.14395432692307,7.20109975961538,7.26847355769231,7.31694711538461,7.39543870192308,7.46725961538461,7.54419471153846,7.60645432692308,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,31.7283028123518,31.7318577706899,31.7302276090226,31.729544276733,7.61401442307692,7.54241586538462,7.45658653846154,7.39566105769231,7.32450721153846,7.25780048076923,7.17152644230769,7.12305288461538,7.05412259615385,6.98296875,6.94494591346154,6.85956129807693,6.80263822115385,6.77417668269231,6.71725360576924,6.66744591346154,6.61274639423078,6.55593449519231,6.55348858173078,6.51791165865385,6.46109975961539,6.44208834134616,6.41362680288461,6.38516526442308,6.38516526442308,6.361484375,6.3281865985577,6.34714242788462,6.32935396634615,6.3282421875,6.3282421875,6.32846454326923,6.38516526442308,6.38510967548077,6.40417668269231,6.44203275240385,6.46109975961539,6.49890024038462,6.51852313701924,6.57483473557693,6.61274639423078,6.64120793269231,6.69034855769231,6.74615985576924,6.80308293269231,6.86000600961538,6.91670673076923,6.98363581730769,7.04078125,7.08925480769231,7.16774639423077,7.23867788461538,7.29649038461538,7.384765625,7.43790865384616,7.52418269230769,7.613125,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,31.7286735072222,31.730920256777,31.7325935369882,31.731968016472,7.61401442307692,7.54197115384616,7.46459134615385,7.381875,7.31472355769231,7.22844951923077,7.15840745192308,7.08747596153846,7.03010817307692,6.9540625,6.88691105769231,6.83877103365385,6.7812920673077,6.72436899038462,6.66922475961539,6.61230168269231,6.5558233173077,6.49901141826923,6.46109975961539,6.44147686298077,6.38516526442308,6.37565955528846,6.3282421875,6.32112680288462,6.27131911057693,6.27126352163462,6.28666165865385,6.23335186298078,6.21434044471155,6.2155078125,6.21439603365385,6.2143682391827,6.21528545673078,6.27131911057693,6.27126352163462,6.29066406250001,6.34714242788462,6.34758713942308,6.4040655048077,6.40651141826923,6.44219951923078,6.51791165865385,6.5558233173077,6.60318509615385,6.64598858173077,6.69568509615385,6.75861177884616,6.81664663461539,6.87356971153847,6.94472355769231,7.01143028846153,7.08881009615384,7.14617788461538,7.22466947115385,7.29560096153846,7.37342548076923,7.45213942307692,7.52373798076923,7.61223557692308,31.1780592901938,31.1780592901938,31.1780592901938,31.1780592901938,,,,,,,,,,,,,,,,,,
